i,ui
696,12.1157
697,12.0758
698,12.036
699,11.9961
700,11.9562
701,11.9164
702,11.8765
703,11.8367
704,11.7968
705,11.757
706,11.7171
707,11.6773
708,11.6374
709,11.5976
710,11.5577
711,11.5179
712,11.478
713,11.4381
714,11.3983
715,11.3584
716,11.3186
717,11.2787
718,11.2389
719,11.199
720,11.1592
721,11.1193
722,11.0795
723,11.0396
724,10.9997
725,10.9599
726,10.92
727,10.8802
728,10.8403
729,10.8005
730,10.7606
731,10.7208
732,10.6809
733,10.6411
734,10.6012
735,10.5614
736,10.5215
737,10.4816
738,10.4418
739,10.4019
740,10.3621
741,10.3222
742,10.2824
743,10.2425
744,10.2027
745,10.1628
746,10.123
747,10.0831
748,10.0432
749,10.0034
750,9.96354
751,9.92369
752,9.88383
753,9.84398
754,9.80412
755,9.76427
756,9.72441
757,9.68456
758,9.64471
759,9.60485
760,9.565
761,9.52514
762,9.48529
763,9.44544
764,9.40558
765,9.36573
766,9.32587
767,9.28602
768,9.24617
769,9.20631
770,9.16646
771,9.1266
772,9.08675
773,9.04689
774,9.00704
775,8.96719
776,8.92733
777,8.88748
778,8.84762
779,8.80777
780,8.76792
781,8.72806
782,8.68821
783,8.64835
784,8.6085
785,8.56864
786,8.52879
787,8.48894
788,8.44908
789,8.40923
790,8.36937
791,8.32952
792,8.28967
793,8.24981
794,8.20996
795,8.1701
796,8.13025
797,8.09039
798,8.05054
799,8.01069
800,7.97083
801,7.93098
802,7.89112
803,7.85127
804,7.81142
805,7.77156
806,7.73171
807,7.69185
808,7.652
809,7.61214
810,7.57229
811,7.53244
812,7.49258
813,7.45273
814,7.41287
815,7.37302
816,7.33317
817,7.29331
818,7.25346
819,7.2136
820,7.17375
821,7.13389
822,7.09404
823,7.05419
824,7.01433
825,6.97448
826,6.93462
827,6.89477
828,6.85492
829,6.81506
830,6.77521
831,6.73535
832,6.6955
833,6.65564
834,6.61579
835,6.57594
836,6.53608
837,6.49623
838,6.45637
839,6.41652
840,6.37667
841,6.33681
842,6.29696
843,6.2571
844,6.21725
845,6.17739
846,6.13754
847,6.09769
848,6.05783
849,6.01798
850,5.97812
851,5.93827
852,5.89842
853,5.85856
854,5.81871
855,5.77885
856,5.739
857,5.69914
858,5.65929
859,5.61944
860,5.57958
861,5.53973
862,5.49987
863,5.46002
864,5.42017
865,5.38031
866,5.34046
867,5.3006
868,5.26075
869,5.22089
870,5.18104
871,5.14119
872,5.10133
873,5.06148
874,5.02162
875,4.98177
876,4.94192
877,4.90206
878,4.86221
879,4.82235
880,4.7825
881,4.74265
882,4.70279
883,4.66294
884,4.62308
885,4.58323
886,4.54337
887,4.50352
888,4.46367
889,4.42381
890,4.38396
891,4.3441
892,4.30425
893,4.2644
894,4.22454
895,4.18469
896,4.14483
897,4.10498
898,4.06512
899,4.02527
900,3.98542
901,3.94556
902,3.90571
903,3.86585
904,3.826
905,3.78615
906,3.74629
907,3.70644
908,3.66658
909,3.62673
910,3.58687
911,3.54702
912,3.50717
913,3.46731
914,3.42746
915,3.3876
916,3.34775
917,3.3079
918,3.26804
919,3.22819
920,3.18833
921,3.14848
922,3.10862
923,3.06877
924,3.02892
925,2.98906
926,2.94921
927,2.90935
928,2.8695
929,2.82965
930,2.78979
931,2.74994
932,2.71008
933,2.67023
934,2.63037
935,2.59052
936,2.55067
937,2.51081
938,2.47096
939,2.4311
940,2.39125
941,2.3514
942,2.31154
943,2.27169
944,2.23183
945,2.19198
946,2.15212
947,2.11227
948,2.07242
949,2.03256
950,1.99271
951,1.95285
952,1.913
953,1.87315
954,1.83329
955,1.79344
956,1.75358
957,1.71373
958,1.67387
959,1.63402
960,1.59417
961,1.55431
962,1.51446
963,1.4746
964,1.43475
965,1.3949
966,1.35504
967,1.31519
968,1.27533
969,1.23548
970,1.19562
971,1.15577
972,1.11592
973,1.07606
974,1.03621
975,0.996354
976,0.9565
977,0.916646
978,0.876792
979,0.836937
980,0.797083
981,0.757229
982,0.717375
983,0.677521
984,0.637667
985,0.597812
986,0.557958
987,0.518104
988,0.47825
989,0.438396
990,0.398542
991,0.358687
992,0.318833
993,0.278979
994,0.239125
995,0.199271
996,0.159417
997,0.119562
998,0.0797083
999,0.0398542
